index,i_h2_inj_kg_thm,i_pul_coal_inj_kg_thm,i_nat_gas_inj_kg_thm,i_nat_gas_t_k,i_o2_vol_perce,i_hot_blast_temp_k,i_ore_moisture_weight_perce,i_ore_weight_kg,o_tuyere_exit_velo_m_s,o_raceway_flame_temp_k,o_raceway_coal_burn_perce,o_raceway_volume_m,o_shaft_co_utiliz,o_shaft_h2_utiliz,o_shaft_top_gas_temp_c,o_shaft_press_drop_pa,o_shaft_coke_rate_kg_thm,o_shaft_cohesive_zone_tip_height_m,o_shaft_co_v_perc,o_shaft_co2_v_perc,o_shaft_h2_v_perce,o_shaft_n2_v_perc
82,0,0.35,0,0.6,0.8,0.983041751,0.333333333,0.683813663,129.11511,2421.046,90.83092319,0.2167488,50.3265,46.83813,157.364,121645.3,2.44375,31.80024,0.228219,0.231219,0.021901777,0.5186602
83,0,0.35,0,0.6,0.9,0.983041751,0.333333333,0.696481266,128.58289,2563.45,94.9968008,0.2167488,49.76814,47.18097,136.6996,135475.8,23.33655,31.80024,0.2461555,0.2438831,0.021154938,0.4888063
84,0,0.35,0,0.6,1,0.983041751,0.333333333,0.709148869,128.05579,2695.281,98.94813246,0.2167488,48.48512,46.41535,132.3106,152809.2,40.86945,31.80024,0.2661412,0.2504885,0.020637544,0.4627327
85,0,0.875,0,0.6,0.7,0.983041751,0.333333333,0.826713116,129.85136,2156.464,82.61378547,0.2167488,43.27408,42.71181,221.0695,141740.8,-93.52135,31.88024,0.2433707,0.1856584,0.040452875,0.5305181
86,0,0.875,0,0.6,0.8,0.983041751,0.333333333,0.839380719,129.25531,2290.989,84.44623198,0.2167488,46.07095,44.27742,197.5618,150361.2,-72.6682,31.88024,0.2459108,0.2100787,0.038285401,0.5057252
87,0,0.875,0,0.6,0.9,0.983041751,0.333333333,0.852048322,128.72423,2422.06,86.70210727,0.2167488,45.72016,44.0932,177.4996,165964.3,-45.36705,31.88024,0.2636945,0.222111,0.036946658,0.4772478
88,0,0.875,0,0.6,1,0.983041751,0.333333333,0.864715925,128.19808,2553.208,89.55351279,0.2167488,46.45882,45.01457,167.4189,174915.6,-26.74125,31.88024,0.2734312,0.237262,0.035207063,0.4540997
89,0,1,0,0.6,0.7,0.983041751,0.333333333,0.863752891,129.84276,2142.002,82.22164106,0.2167488,41.80577,41.80875,232.5939,151664.7,-110.4844,31.92024,0.249733,0.1794041,0.04480046,0.5260625
90,0,1,0,0.6,0.8,0.983041751,0.333333333,0.876420494,129.2476,2269.609,83.82781837,0.2167488,46.1881,44.36956,207.4229,148446.8,-93.14595,31.88024,0.2444284,0.2097991,0.041797407,0.5039752
91,0,1,0,0.6,0.9,0.983041751,0.333333333,0.889088097,128.71654,2396.361,85.7992086,0.2167488,47.48439,45.28625,188.043,166754.7,-70.896,31.92024,0.2525286,0.2283353,0.03971101,0.479425
92,0,1,0,0.6,1,0.983041751,0.333333333,0.9017557,128.19148,2525.533,88.38376011,0.2167488,45.22339,44.21043,166.6379,187189.2,-38.20105,31.88024,0.2800227,0.2311859,0.038745452,0.450046
93,0,0.45,0,0.6,0.7,0.983041751,0.444444444,0.70077788,129.75002,2240.644,85.78296949,0.2167488,46.57304,44.33774,172.2992,115277,-31.1083,31.88024,0.228188,0.1989147,0.026649997,0.5462473
94,0,0.45,0,0.6,0.8,0.983041751,0.444444444,0.713445483,129.151,2390.72,88.77137514,0.2167488,48.63136,45.7813,150.6861,127304.8,-12.69875,31.80024,0.234798,0.2222863,0.025483239,0.5174325
95,0,0.45,0,0.6,0.9,0.983041751,0.444444444,0.726113086,128.62132,2532.331,92.54781695,0.2167488,46.83779,45.07388,130.6251,143646.2,17.0149,31.80024,0.2616738,0.2305439,0.024624543,0.4831576
96,0,0.45,0,0.6,1,0.983041751,0.444444444,0.738780689,128.08969,2664.389,96.52813706,0.2167488,46.39287,45.81744,114.0311,158698.1,34.083,31.80024,0.2777769,0.2403947,0.023665033,0.4581634
97,0,0.62,0,0.6,0.7,0.983041751,0.444444444,0.751151974,129.80739,2199.095,83.81440451,0.2167488,45.12502,43.52351,187.7137,123888.3,-56.37405,31.88024,0.2348765,0.1931446,0.032213792,0.5397651
98,0,0.62,0,0.6,0.8,0.983041751,0.444444444,0.763819577,129.21054,2344.956,86.5098168,0.2167488,48.30815,45.47496,163.6137,133163.5,-39.17055,31.88024,0.2355299,0.2201123,0.030518107,0.5138397
99,0,0.62,0,0.6,0.9,0.983041751,0.444444444,0.77648718,128.67992,2483.58,89.57585369,0.2167488,47.08787,45.2904,143.6301,150695,-11.55715,31.80024,0.2582295,0.2298051,0.029472083,0.4824933
100,0,0.62,0,0.6,1,0.983041751,0.444444444,0.789154783,128.15402,2617.021,93.20249098,0.2167488,49.89212,48.22044,122.3829,167457.6,-2.8378,31.88024,0.2557503,0.254649,0.027001828,0.4625989
101,0,0.75,0,0.6,0.7,0.983041751,0.444444444,0.78967334,129.83924,2175.781,83.18861492,0.2167488,44.11188,43.11102,196.3816,133989.6,-75.37655,31.88024,0.2393691,0.1889314,0.036486171,0.5352134
102,0,0.75,0,0.6,0.8,0.983041751,0.444444444,0.802340943,129.24333,2314.18,85.22578542,0.2167488,47.56826,45.09411,174.3115,138650.4,-58.16705,31.88024,0.2386023,0.2164699,0.034430802,0.510497
103,0,0.75,0,0.6,0.9,0.983041751,0.444444444,0.815008547,128.71231,2449.927,87.87174034,0.2167488,46.69786,44.98293,152.8845,154971.4,-29.70975,31.88024,0.2593913,0.227252,0.033210184,0.4801465
104,0,0.75,0,0.6,1,0.983041751,0.444444444,0.82767615,128.18655,2583.367,91.0779078,0.2167488,46.34625,45.22129,134.9512,171635.2,-8.59825,31.88024,0.2752141,0.2377307,0.031862099,0.4551931
105,0,0.19,0,0.6,0.7,0.983041751,0.444444444,0.623735147,129.69935,2317.71,91.81126079,0.2167488,48.60184,45.10495,154.0194,101673.27,9.3374,31.83963,0.21919,0.207265,0.01807088,0.5554742
